上海旅游,上海旅游攻略,上海迪士尼,旅游人数
26696,15637,16198,854774
29664,16240,9893,707020
37202,19388,17735,1288661
44064,25101,30221,1891583
39107,20747,15311,2286453
38298,22784,12713,1470506
49326,31485,13098,1474029
43147,28765,16007,1217113
49659,33582,12005,1361770
44990,29084,13631,1791134
35903,20083,12975,1206479
34953,21052,11567,2831353
38286,26867,11508,846350
37880,29379,14227,907064
49240,34047,16215,1472153
60655,37614,17874,2096335
49718,33167,17093,2308918
53151,36886,17968,1857478
68186,54110,21127,1602420
63002,49892,17966,1344966
67084,52868,15620,1451590
60957,44922,14848,1840375
43770,36281,13369,2336300
48865,41847,14430,3066955
48970,40935,15432,1150427
66348,40503,16244,874641
59112,51886,25025,1283525
63188,51471,22044,2194319
62780,48531,25830,2090723
65824,56908,24619,1572068
78668,67787,24959,1291456
66636,60504,24333,1239271
81010,69948,26989,1292115
76588,61157,22681,1976355
54846,41292,18861,2334883
55582,40587,18531,1912409
60255,50000,43537,637184
59069,48986,29677,685001
69195,53743,32615,1003812
104945,62137,43594,1757727
96223,60754,42229,1796850
113704,70587,37671,1390893
167203,113183,43046,1098022
152605,90422,40077,1020903
180362,73405,40938,1230448
182203,70099,44465,1865507
76074,47659,45022,2125695
76893,50316,48536,1920603
75926,52694,57529,703098
79336,69770,53869,686392
91175,74611,61224,970104
99741,99589,62000,1797888
81253,87519,106115,2002268
89976,95677,79908,1619540
130915,165292,126397,1241395
204343,175754,83543,1428579
199106,106053,74894,1321971
186598,87757,113247,1766957
113477,50062,95961,2124053
116533,53049,115509,2242044
113835,54638,178000,870845
153934,61157,204366,688974
140323,60277,380359,1378302
172010,70694,286311,2478590
161907,62237,564245,1874363
184420,77696,1046208,1776819
247613,101739,825415,1757031
242932,100410,705923,1956429
178415,83985,348605,1652020
171226,81010,276634,2227084
99345,47712,149721,2437869
116144,55340,178543,1971691
157485,79664,239687,970661
135120,63257,199093,1036442
131625,65429,212537,1575215
157440,70503,262701,2565422
153410,67868,290825,2291034
169569,85004,765692,2305688
223036,108718,542640,1832590
205708,115035,466579,2066679
165389,90886,208604,2216200
173145,69294,176006,2722853
118985,41860,129184,2620684
117374,46692,154116,1656333
116661,48270,151175,873888
141045,58974,183344,862523
146062,55427,215187,1389101
120689,75707,253481,2246964
55732,57268,220640,2340518
56273,79866,231660,1798207
60905,125512,239364,1441543
62306,113994,177263,1458499
59726,61065,100595,1495691
91950,50565,125252,1920051
