SHLY,TouristNumber
26696,854774
29664,707020
37202,1288661
44064,1891583
39107,2286453
38298,1470506
49326,1474029
43147,1217113
49659,1361770
44990,1791134
35903,1206479
34953,2831353
38286,846350
37880,907064
49240,1472153
60655,2096335
49718,2308918
53151,1857478
68186,1602420
63002,1344966
67084,1451590
60957,1840375
43770,2336300
48865,3066955
48970,1150427
66348,874641
59112,1283525
63188,2194319
62780,2090723
65824,1572068
78668,1291456
66636,1239271
81010,1292115
76588,1976355
54846,2334883
55582,1912409
60255,637184
59069,685001
69195,1003812
104945,1757727
96223,1796850
113704,1390893
167203,1098022
152605,1020903
180362,1230448
182203,1865507
76074,2125695
76893,1920603
75926,703098
79336,686392
91175,970104
99741,1797888
81253,2002268
89976,1619540
130915,1241395
204343,1428579
199106,1321971
186598,1766957
113477,2124053
116533,2242044
113835,870845
153934,688974
140323,1378302
172010,2478590
161907,1874363
184420,1776819
247613,1757031
242932,1956429
178415,1652020
171226,2227084
99345,2437869
116144,1971691
157485,970661
135120,1036442
131625,1575215
157440,2565422
153410,2291034
169569,2305688
223036,1832590
205708,2066679
165389,2216200
173145,2722853
118985,2620684
117374,1656333
116661,873888
141045,862523
146062,1389101
120689,2246964
55732,2340518
56273,1798207
60905,1441543
62306,1458499
59726,1495691
91950,1920051
