Time,SHLY,SHLYGL,SHDSN,TouristNumber,上海,浙江,江苏,安徽,江西,福建,山东,湖北,河南,湖南,河北,天津,北京,山西,陕西,广东,内蒙古,辽宁,广西,贵州,重庆,甘肃,吉林,宁夏,海南,四川,青海,黑龙江,云南,新疆,西藏
Jan-11,26696,15637,16198,854774,7969,3414,3075,2003,1484,2168,2628,2010,2113,1678,1999,2132,3079,1847,2028,2527,1696,2584,1367,1383,1901,1298,1056,814,1336,2046,346,2056,1358,1307,175
Feb-11,29664,16240,9893,707020,10104,4330,3697,2042,1618,2068,2387,1824,2011,1761,1911,1950,2862,1734,1839,2330,1671,2623,1525,1253,1495,1607,877,576,1127,1825,572,1929,1183,1482,0
Mar-11,37202,19388,17735,1288661,14063,4809,4551,2376,1989,2623,3240,2217,2424,2148,2332,2535,4043,2147,2202,2993,1928,3262,1852,1764,1978,1581,1175,751,1370,2249,519,2296,1572,1622,173
Apr-11,44064,25101,30221,1891583,17238,6189,5466,2526,2155,2867,3315,2546,2648,2104,2409,2466,4363,2104,2209,3360,1988,3251,1936,1854,1885,1679,1368,1000,1500,2220,643,2364,1777,1769,289
May-11,39107,20747,15311,2286453,13652,4636,4407,2444,2072,2683,3081,2486,2507,2202,2332,2388,3998,2031,2293,3159,1899,3046,1961,1758,1925,1720,887,993,1545,2195,519,2341,1829,1513,114
Jun-11,38298,22784,12713,1470506,12254,4798,4585,2320,2126,2723,3005,2537,2494,2249,2286,2329,4198,2040,2189,3084,1863,2661,1851,1811,2017,1659,1290,1113,1613,2298,401,2306,1793,1788,171
Jul-11,49326,31485,13098,1474029,15384,6137,5663,2870,2439,3213,3741,3290,3137,2683,2680,2644,5067,2433,2618,3654,1972,3050,2292,1888,2111,1675,1484,1287,1568,2603,574,2675,1999,1886,289
Aug-11,43147,28765,16007,1217113,12807,5550,5530,2668,2201,2799,3496,2675,2945,2370,2586,2331,4018,2250,2309,3299,2027,2874,2068,1735,2075,1823,1291,1351,1552,2333,407,2353,1851,1827,287
Sep-11,49659,33582,12005,1361770,15539,6726,5775,2702,2276,3066,3774,2740,2822,2378,2773,2411,5284,2283,2469,3593,2060,3289,2148,1957,2121,1856,1367,1292,1635,2345,749,2287,1842,1698,171
Oct-11,44990,29084,13631,1791134,13233,4927,4465,2337,2000,2508,2942,2228,2368,2134,2473,2131,4005,2140,2238,2910,1834,2896,2038,1706,1908,1704,806,759,1243,2158,114,2216,1541,1658,0
Nov-11,35903,20083,12975,1206479,9308,3910,3552,2053,1751,2393,2595,2059,2176,2020,2264,2013,3513,1964,2048,2816,1791,2606,1832,1544,1888,1588,1156,637,1174,2072,464,2121,1497,1458,348
Dec-11,34953,21052,11567,2831353,8368,4034,3601,2070,1661,2337,2683,2107,2092,1862,2237,2096,3609,1950,2091,2672,1539,2598,1742,1433,1807,1555,574,867,1221,2084,344,2067,1485,1343,342
Jan-12,38286,26867,11508,846350,8705,4622,4177,2038,1768,2227,2890,2108,2180,1680,2280,2127,3482,2025,2116,2644,1658,2556,1702,1633,1848,1732,694,914,1327,1997,293,2127,1366,1497,230
Feb-12,37880,29379,14227,907064,8746,3823,3663,2021,1697,2308,2688,2139,2063,1881,2191,2067,3321,1949,2077,2700,1773,2858,1717,1632,1891,1508,818,635,1132,1972,411,2086,1449,1493,232
Mar-12,49240,34047,16215,1472153,12680,5108,5157,2450,2139,2653,3342,2587,2570,2199,2683,2570,4744,2258,2288,3141,1961,3589,1734,1688,2069,1884,886,1240,1293,2464,808,2389,1752,1744,228
Apr-12,60655,37614,17874,2096335,15786,6973,6333,2579,2219,2882,3683,2525,2723,2211,2769,2454,4718,2362,2400,3231,1933,3244,1967,1675,1963,1850,1162,1057,1241,2233,692,2400,1587,1762,175
May-12,49718,33167,17093,2308918,11949,5303,4673,2271,2065,2563,3046,2418,2458,2314,2487,2259,4004,2211,2397,3021,1868,2833,1933,1825,1983,1692,1357,696,1597,2283,810,2411,1639,1574,289
Jun-12,53151,36886,17968,1857478,12161,5877,5093,2391,2159,2835,3159,2572,2542,2241,2477,2405,4198,2261,2310,3183,1782,2989,1962,1853,2059,1775,1050,938,1475,2400,637,2242,1885,1641,228
Jul-12,68186,54110,21127,1602420,14354,6937,6354,2807,2438,3299,3685,3315,3386,2693,3114,2522,4622,2629,2786,3742,2024,3347,2305,2061,2229,1876,1510,1321,1753,2648,690,2662,1945,1898,228
Aug-12,63002,49892,17966,1344966,13214,6624,6130,2675,2300,3025,3632,2738,2995,2352,2820,2383,4363,2555,2440,3316,1923,3282,1913,1758,2139,1779,1726,1280,1500,2405,523,2321,1811,1759,285
Sep-12,67084,52868,15620,1451590,13869,7411,6565,2809,2315,3317,4019,2777,2991,2356,2808,2563,5387,2356,2414,3598,2086,3328,1953,1885,1981,1777,1303,1164,1659,2425,576,2317,1886,1761,173
Oct-12,60957,44922,14848,1840375,12003,5615,4571,2339,2008,2542,2802,2102,2285,1990,2562,2239,3620,2025,2080,2959,1799,2746,1870,1674,1776,1327,753,1074,1354,2192,635,2103,1514,1546,407
Nov-12,43770,36281,13369,2336300,7443,3802,3377,1964,1778,2277,2420,1911,2169,1949,2129,2014,3191,1761,1910,2583,1558,2422,1623,1375,1586,1355,525,405,1065,2044,399,1973,1609,1296,287
Dec-12,48865,41847,14430,3066955,9086,4977,4246,2176,1976,2560,2914,2200,2288,1968,2330,2435,4242,1940,2139,3158,1663,2898,1868,1541,1866,1148,700,534,1239,2297,293,2121,1344,1254,59
Jan-13,48970,40935,15432,1150427,6863,4276,3419,2049,1885,2264,2707,2019,2213,1888,2309,2231,3635,1926,1986,2777,1769,2604,1714,1757,1734,1337,861,924,889,2126,342,2109,1519,1480,114
Feb-13,66348,40503,16244,874641,7333,4967,3776,1935,1650,2175,2677,1891,2043,1950,2150,2171,3427,1783,1840,2671,1647,2385,1811,1683,1600,1101,700,861,941,1938,285,1857,1612,1348,57
Mar-13,59112,51886,25025,1283525,9741,5421,4425,2350,2052,2535,3081,2314,2544,2253,2503,2698,4330,2110,2137,3075,1841,3023,1966,1552,1945,1245,991,635,930,2186,462,2251,1678,1496,57
Apr-13,63188,51471,22044,2194319,11470,6183,4879,2357,2061,2427,2865,2309,2632,2163,2388,2673,3784,2137,2125,3004,1672,2760,1975,1614,1673,1309,769,824,1044,2067,580,2167,1662,1481,230
May-13,62780,48531,25830,2090723,9278,5479,4809,2592,2187,2777,3352,2532,3038,2393,2681,2543,3826,2420,2578,3688,2022,2973,2243,1882,2018,1808,1254,1120,1727,2422,749,2317,2039,1892,118
Jun-13,65824,56908,24619,1572068,9423,5733,4999,2351,2161,2802,3113,2524,2726,2263,2450,2769,4068,2207,2493,3285,1846,2647,1986,1807,1986,1635,1447,808,1241,2361,346,2148,1851,1667,57
Jul-13,78668,67787,24959,1291456,29865,14117,14596,6359,5558,7551,8238,7025,7727,5996,6355,5218,8619,5526,6349,10201,4350,6307,4877,4235,4472,3946,2727,2664,3276,6235,1870,5177,4322,3927,286
Aug-13,66636,60504,24333,1239271,28419,13657,14205,5767,4835,7049,7260,6075,6457,5143,5502,4696,8066,4778,5175,8954,3989,5731,4510,4033,4222,3811,2695,2186,3339,5470,1346,4446,3814,3600,458
Sep-13,81010,69948,26989,1292115,29063,15661,15418,6046,4958,7362,8566,6281,6802,5447,6220,5564,10561,5261,5438,9560,4182,6625,4266,4003,4201,4025,2332,2623,3368,5500,1988,4546,4048,3602,572
Oct-13,76588,61157,22681,1976355,29193,13651,13195,5312,4550,6301,7102,5189,5778,5047,5528,4742,8385,4824,4882,8289,3742,5627,4262,3862,4023,3627,1974,2548,2578,4866,1338,4452,3983,3486,752
Nov-13,54846,41292,18861,2334883,21231,9487,9012,4526,3969,5054,5981,4360,4798,4222,4840,4276,7127,4185,4290,6931,3739,5011,3822,3418,3616,3141,1472,1503,2645,4387,1151,4217,3397,2940,173
Dec-13,55582,40587,18531,1912409,19127,9430,9182,4602,4076,5021,6128,4375,4896,4182,4939,4672,8608,4215,4542,6903,3831,5162,3609,3571,3961,3468,2377,1793,2729,4560,1208,4404,3718,3178,408
Jan-14,60255,50000,43537,637184,20361,11452,11099,4572,3735,5300,6970,4408,5205,4002,5189,5061,8419,4336,4804,7186,3755,5409,3728,3543,3919,3454,1988,1796,2191,4631,1031,4510,3704,2988,399
Feb-14,59069,48986,29677,685001,22636,12246,11571,4572,3733,5173,6468,4247,4771,3951,4820,4631,7023,4085,4269,6524,3738,5563,3666,3104,3395,3082,1926,1580,2540,4035,1494,4161,3439,3119,342
Mar-14,69195,53743,32615,1003812,27984,13276,12638,5586,4393,6037,7280,5137,5775,4654,5323,5256,8982,4632,4907,7899,4076,6157,4064,3649,3956,3542,2451,2689,2955,4767,1719,4818,3588,3618,114
